WORD	PLURAL	class	TRANSLATION	DEFINITION
photosynthesis		Noun	光合作用	The process by which green plants use sunlight to synthesize nutrients from CO₂ and water.
respiration		Noun	呼吸作用	The metabolic process where organisms convert glucose into energy (ATP), releasing CO₂.
enzyme	enzymes	Noun	酶	A biological catalyst that speeds up chemical reactions without being consumed.
mitosis		Noun	有絲分裂	A type of cell division producing two genetically identical daughter cells for growth and repair.
meiosis		Noun	減數分裂	A type of cell division producing four genetically diverse gametes with half the chromosome number.
ecosystem	Ecosystems	Noun	生態系統	A community of interacting organisms and their physical environment.
homeostasis		Noun	體內平衡	The maintenance of a stable internal environment despite external changes.
gene	Genes	Noun	基因	A unit of heredity made of DNA that codes for a specific protein or trait.
chromosome	chromosomes	Noun	染色體	A thread-like structure of DNA and proteins carrying genetic information.
diffusion		Noun	擴散	The passive movement of molecules from high to low concentration.
osmosis		Noun	滲透	The diffusion of water across a selectively permeable membrane.
pathogen	pathogens	Noun	病原體	A disease-causing microorganism (e.g., bacteria, viruses, fungi).
antibody	antibodies	Noun	抗體	A protein produced by the immune system to neutralize pathogens.
vaccination	vaccinations	Noun	疫苗接種	The administration of a vaccine to stimulate immunity against a disease.
biodiversity		Noun	生物多樣性	The variety of life in an ecosystem, including species and genetic diversity.
food chain	food chains	Noun	食物鏈	A linear sequence showing energy transfer between organisms.
trophic level	trophic levels	Noun	營養級	An organism's position in a food chain (e.g., producer, consumer).
biomagnification		Noun	生物放大作用	The increase in toxin concentration at higher trophic levels.
carbon cycle	carbon cycles	Noun	碳循環	The movement of carbon between organisms, the atmosphere, and Earth.
succession	successions	Noun	演替	The gradual change in an ecosystem's species composition over time.
keystone species	keystone species	Noun	關鍵物種	A species with a large impact on ecosystem stability (e.g., wolves).
DNA replication		Noun	DNA複製	The process where DNA makes an identical copy before cell division.
transcription		Noun	轉錄	The synthesis of mRNA from a DNA template in the nucleus.
translation		Noun	轉譯	The process which ribosomes read mRNA to assemble amino acids into proteins.
allele	Alleles	Noun	等位基因	Different versions of the same gene (e.g., dominant vs. recessive).
mutation	Mutations	Noun	突變	A change in DNA sequence, which may affect protein function.
genetic engineering		Noun	基因工程	The direct manipulation of an organism's genes using biotechnology.
chlorophyll		Noun	葉綠素	A green pigment in chloroplasts that absorbs light for photosynthesis.
light-dependent reaction	light-dependent reactions	Noun	光反應	A photosynthesis stage converting light energy into ATP and NADPH, releasing O₂.
calvin cycle	calvin cycles	Noun	卡爾文循環	Light-independent reactions using ATP and NADPH to fix CO₂ into glucose.
stoma	stomata	Noun	氣孔	Tiny leaf openings allowing gas exchange (CO₂ in, O₂ out).
limiting factor	limiting factors	Noun	限制因子	An environmental factor (e.g., light, CO₂) that restricts photosynthesis rate.
aerobic respiration		Noun	需氧呼吸	The breakdown of glucose using oxygen to produce ATP, CO₂, and water.
anaerobic respiration		Noun	厭氧呼吸	The energy production without oxygen, producing lactate (animals) or ethanol (yeast).
ATP		Noun	三磷酸腺苷	The energy currency of cells, storing and transferring chemical energy.
glycolysis		Noun	糖酵解	The first stage of respiration, breaking glucose into pyruvate in the cytoplasm.
krebs cycle	Krebs cycles	Noun	克雷布斯循環	A series of reactions in mitochondria producing ATP, NADH, and FADH₂.
electron transport chain	Electron transport chains	Noun	電子傳遞鏈	The final respiration stage, generating ATP via oxidative phosphorylation.
pollination		Noun	傳粉	The transfer of pollen from anther to stigma, enabling fertilization.
self-pollination		Noun	自花傳粉	Pollen transfers to stigma of the same flower/plant.
cross-pollination		Noun	異花傳粉	Pollen transfers to stigma of a different plant (increases genetic diversity).
pollen grain	Pollen grains	Noun	花粉粒	Male gametophyte in plants, containing sperm cells.
ovule	ovules	Noun	胚珠	Structure in ovary that develops into a seed after fertilization.
petal	petals	Noun	花瓣	Colorful flower part attracting pollinators.
stamen	stamens	Noun	雄蕊	Male reproductive organ (anther + filament).
carpel	carpels	Noun	雌蕊	Female reproductive organ (stigma, style, ovary).
fertilization		Noun	受精	Fusion of male (pollen) and female (ovule) gametes to form a zygote.
seed dispersal		Noun	種子傳播	Movement of seeds away from parent plant (e.g., wind, animals).
gamete	gametes	Noun	配子	Reproductive cell (sperm in males, egg in females) with half the chromosomes.
sperm		Noun	精子	Male gamete, motile and small, produced in testes.
ovum	ova	Noun	卵子	Female gamete, large and non-motile, produced in ovaries.
testis	testes	Noun	睾丸	Male organ producing sperm and testosterone.
ovary	ovaries	Noun	卵巢	Female organ producing ova and hormones (estrogen, progesterone).
menstrual cycle		Noun	月經週期	Monthly cycle preparing uterus for pregnancy (avg. 28 days).
fertilization		Noun	受精	Fusion of sperm and egg nuclei to form a diploid zygote.
zygote	Zygotes	Noun	受精卵	First diploid cell formed after fertilization.
embryo	Embryos	Noun	胚胎	Developing organism from zygote to 8 weeks (humans).
placenta	Placentas	Noun	胎盤	Organ nourishing fetus via umbilical cord; exchanges nutrients/wastes.
gestation		Noun	妊娠	Pregnancy period (∼40 weeks in humans).
asexual reproduction		Noun	無性生殖	Reproduction without gametes (e.g., budding, binary fission).
sexual reproduction		Noun	有性生殖	Reproduction involving fusion of male and female gametes.
menstruation		Noun	月經	Shedding of uterine lining if fertilization does not occur.
germination		Noun	萌發	Process where a seed develops into a new plant.
lenticel	lenticels	Noun	皮孔	Small openings on stems allowing gas exchange in woody plants.
guard cell	guard cells	Noun	保衛細胞	Cells surrounding stomata that regulate their opening/closing.
transpiration		Noun	蒸騰作用	Loss of water vapor from plant leaves, creating a transpiration pull.
spongy mesophyll		Noun	海綿組織	Leaf tissue with air spaces for gas diffusion in photosynthesis.
air sac	Air sacs	Noun	肺泡	Tiny cavities in lungs where O₂ and CO₂ exchange occurs.
diaphragm	diaphragms	Noun	橫膈膜	Dome-shaped muscle below lungs controlling inhalation/exhalation.
trachea	tracheae	Noun	氣管	Windpipe carrying air to bronchi; lined with cilia and mucus.
hemoglobin		Noun	血紅蛋白	Iron-containing protein in RBCs that binds O₂ for transport.
ventilation		Noun	通氣	Mechanical process of breathing (inspiration + expiration).
villus	villi	Noun	絨毛	Finger-like projections in small intestine increasing absorption area.
peristalsis		Noun	蠕動	Wave-like muscle contractions moving food through the digestive tract.
bile		Noun	膽汁	Liver secretion emulsifying fats for lipase action (stored in gallbladder).
xylem		Noun	木質部	Vascular tissue transporting water/minerals from roots to leaves.
phloem		Noun	韌皮部	Vascular tissue transporting sugars (e.g., sucrose) from leaves to other parts.
nitrate	nitrates	Noun	硝酸鹽	Mineral ion absorbed by roots for amino acid/protein synthesis.
root hair	root hairs	Noun	根毛	Microscopic extensions of root epidermis increasing absorption surface area.
assimilation		Noun	同化作用	Incorporation of absorbed nutrients into body tissues.
ChrisSch		Easter Egg	This man is a princess.	A horrifyingly talented programmer who is obsessed with the Disney cartoon series Sofia the First.
Vivien		Easter Egg	No comments.	An ICT teacher and a serial kidnapper of Usagi plushies.
Tommy Ma		Easter Egg	This guy has cholera.	A bad to the bone class mathematician and the unfortunate parent of an Usagi plushie.
Jerry		Easter Egg	This guy doesn't like going outside.	A semi-solid specimen who LOATHES eating out for lunch.